C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look
,,,,,,,,,,,,,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,5.0,1.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,ดื่มให้ตื่นตัวในตอนเช้า,5.0,5.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0
ดื่มให้ตื่นตัวในตอนเช้า,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มก่อนออกกำลังกาย",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,
,,,,,,,,,,,,,"ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย",4.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,1.0,5.0,2.0,4.0,4.0,1.0,3.0,4.0,5.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0
,,,,,,,,,,,,,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,5.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,1.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0
